Date,Approver,Department,Category,Urgency,Complexity
2024-04-27 14:02:22.920214,Eve,Finance,Miscellaneous,Medium,Low
2024-05-06 14:02:22.920214,David,Operations,Training,Low,Medium
2023-11-25 14:02:22.920214,David,Operations,Training,High,High
2023-08-15 14:02:22.920214,David,Operations,Training,Medium,High
2023-07-18 14:02:22.920214,David,Operations,Meals,Low,Medium
2023-11-10 14:02:22.920214,Eve,Finance,Maintenance,Low,High
2023-12-31 14:02:22.920214,Bob,HR,Software,Medium,Medium
2023-07-17 14:02:22.920214,Charlie,IT,Travel,Medium,Low
2023-07-22 14:02:22.920214,Bob,HR,Marketing,Medium,Low
2023-09-20 14:02:22.920214,Eve,Finance,Training,Low,High
2024-01-29 14:02:22.920214,Bob,HR,Office Supplies,Low,Low
2023-07-03 14:02:22.920214,Bob,HR,Wifi,High,Low
2023-07-10 14:02:22.920214,Charlie,IT,Travel,Low,Low
2023-10-22 14:02:22.920214,Bob,HR,Marketing,High,Medium
2024-02-27 14:02:22.920214,Bob,HR,Software,Low,Low
2024-02-29 14:02:22.920214,Alice,Finance,Miscellaneous,Low,Low
2024-04-19 14:02:22.920214,Bob,HR,Utilities,Low,High
2023-06-04 14:02:22.920214,Charlie,IT,Marketing,Medium,Low
2023-07-10 14:02:22.920214,Eve,Finance,Travel,Medium,Low
2023-12-29 14:02:22.920214,Alice,Finance,Meals,Medium,Low
2023-08-02 14:02:22.920214,Bob,HR,Miscellaneous,Low,High
2024-05-02 14:02:22.920214,Bob,HR,Miscellaneous,High,Low
2024-03-06 14:02:22.920214,Bob,HR,Equipment,Medium,Medium
2024-04-05 14:02:22.920214,David,Operations,Office Supplies,Medium,High
2023-05-18 14:02:22.920214,Bob,HR,Miscellaneous,High,High
2023-06-14 14:02:22.920214,Eve,Finance,Equipment,Low,High
2024-05-02 14:02:22.920214,Alice,Finance,Maintenance,High,Medium
2024-01-13 14:02:22.920214,David,Operations,Maintenance,Low,High
2023-06-10 14:02:22.920214,Alice,Finance,Marketing,High,High
2023-07-27 14:02:22.920214,Alice,Finance,Software,Low,High
2024-01-04 14:02:22.920214,David,Operations,Software,Low,High
2023-08-09 14:02:22.920214,Eve,Finance,Travel,Medium,High
2024-04-01 14:02:22.920214,Alice,Finance,Travel,Medium,High
2023-10-12 14:02:22.920214,David,Operations,Marketing,Medium,Low
2024-03-15 14:02:22.920214,Alice,Finance,Training,Low,High
2023-08-07 14:02:22.920214,Charlie,IT,Travel,Low,High
2023-07-12 14:02:22.920214,David,Operations,Training,High,High
2023-08-26 14:02:22.920214,David,Operations,Equipment,Low,Medium
2024-02-24 14:02:22.920214,Alice,Finance,Travel,Low,High
2023-05-16 14:02:22.920214,Eve,Finance,Office Supplies,High,Low
2023-12-24 14:02:22.920214,Bob,HR,Maintenance,High,Low
2024-03-27 14:02:22.920214,Charlie,IT,Equipment,High,High
2024-02-24 14:02:22.920214,Eve,Finance,Wifi,Medium,Low
2023-06-21 14:02:22.920214,David,Operations,Travel,High,Low
2023-06-24 14:02:22.920214,Eve,Finance,Training,High,Low
2024-01-15 14:02:22.920214,Eve,Finance,Meals,High,Low
2023-08-22 14:02:22.920214,Bob,HR,Travel,High,Medium
2023-10-07 14:02:22.920214,Charlie,IT,Meals,Medium,Medium
2023-08-15 14:02:22.920214,Alice,Finance,Marketing,High,High
2024-05-04 14:02:22.920214,Eve,Finance,Miscellaneous,Low,Low
2023-10-26 14:02:22.920214,David,Operations,Maintenance,Low,High
2023-08-11 14:02:22.920214,Alice,Finance,Miscellaneous,High,Medium
2024-02-13 14:02:22.920214,Eve,Finance,Miscellaneous,Medium,High
2024-02-08 14:02:22.920214,Alice,Finance,Marketing,High,High
2023-11-16 14:02:22.920214,Bob,HR,Miscellaneous,Low,High
2023-11-19 14:02:22.920214,Charlie,IT,Software,Low,Low
2024-03-12 14:02:22.920214,Charlie,IT,Office Supplies,Medium,Low
2023-06-15 14:02:22.920214,Alice,Finance,Software,Medium,Medium
2023-09-12 14:02:22.920214,David,Operations,Office Supplies,Low,High
2024-02-18 14:02:22.920214,Eve,Finance,Miscellaneous,Low,Medium
2024-01-19 14:02:22.920214,Charlie,IT,Equipment,Low,High
2023-12-23 14:02:22.920214,Charlie,IT,Marketing,High,Medium
2023-09-25 14:02:22.920214,Eve,Finance,Miscellaneous,Low,Medium
2023-07-24 14:02:22.920214,Eve,Finance,Miscellaneous,Medium,Medium
2023-06-05 14:02:22.920214,David,Operations,Wifi,Medium,Medium
2023-05-18 14:02:22.920214,David,Operations,Meals,High,Medium
2023-08-24 14:02:22.920214,Alice,Finance,Office Supplies,Medium,Medium
2024-01-23 14:02:22.920214,Bob,HR,Meals,Low,Low
2023-12-31 14:02:22.920214,Bob,HR,Miscellaneous,High,Low
2023-06-03 14:02:22.920214,Bob,HR,Marketing,Medium,Low
2024-02-14 14:02:22.920214,David,Operations,Office Supplies,Medium,Low
2023-05-16 14:02:22.920214,Alice,Finance,Software,Low,Medium
2024-03-11 14:02:22.920214,Eve,Finance,Utilities,Medium,Medium
2024-04-09 14:02:22.920214,Charlie,IT,Miscellaneous,Medium,Low
2024-03-21 14:02:22.920214,Charlie,IT,Miscellaneous,Low,Medium
2023-06-29 14:02:22.920214,Alice,Finance,Software,Medium,Medium
2023-10-23 14:02:22.920214,Eve,Finance,Equipment,Low,Low
2024-02-20 14:02:22.920214,Bob,HR,Training,High,Medium
2023-12-08 14:02:22.920214,Bob,HR,Wifi,Medium,Low
2023-11-30 14:02:22.920214,Bob,HR,Maintenance,Medium,High
2023-06-01 14:02:22.920214,David,Operations,Software,Medium,Medium
2024-03-19 14:02:22.920214,Alice,Finance,Software,High,High
2023-11-13 14:02:22.920214,David,Operations,Meals,High,Low
2023-08-06 14:02:22.920214,Charlie,IT,Travel,High,Medium
2023-08-03 14:02:22.920214,Charlie,IT,Marketing,High,High
2023-05-22 14:02:22.920214,Charlie,IT,Utilities,Medium,Low
2024-01-07 14:02:22.920214,Eve,Finance,Equipment,Low,Medium
2024-05-05 14:02:22.920214,Bob,HR,Equipment,Low,High
2024-04-19 14:02:22.920214,Eve,Finance,Maintenance,Medium,Low
2023-07-25 14:02:22.920214,Bob,HR,Software,Low,High
2023-06-24 14:02:22.920214,Charlie,IT,Meals,High,Medium
2024-04-12 14:02:22.920214,Charlie,IT,Software,Low,Low
2023-12-07 14:02:22.920214,Charlie,IT,Training,High,Medium
2024-04-12 14:02:22.920214,Eve,Finance,Utilities,Medium,Medium
2024-02-03 14:02:22.920214,Eve,Finance,Office Supplies,Low,High
2023-06-09 14:02:22.920214,Charlie,IT,Marketing,Low,Medium
2023-06-29 14:02:22.920214,Alice,Finance,Software,Low,High
2023-05-23 14:02:22.920214,Alice,Finance,Travel,Medium,Medium
2023-06-20 14:02:22.920214,Charlie,IT,Utilities,Low,Medium
2024-04-05 14:02:22.920214,David,Operations,Wifi,Low,Medium
2024-02-15 14:02:22.920214,Eve,Finance,Office Supplies,Low,Medium
2024-02-11 14:02:22.920214,Bob,HR,Equipment,Low,Low
2024-03-21 14:02:22.920214,Eve,Finance,Training,Low,Medium
2024-01-28 14:02:22.920214,Eve,Finance,Training,Medium,Medium
2024-04-04 14:02:22.920214,Charlie,IT,Training,Medium,Medium
2023-12-02 14:02:22.920214,Alice,Finance,Office Supplies,High,High
2023-10-05 14:02:22.920214,Charlie,IT,Equipment,High,Low
2023-05-19 14:02:22.920214,Alice,Finance,Software,Low,Medium
2023-10-30 14:02:22.920214,David,Operations,Meals,Low,Medium
2024-01-30 14:02:22.920214,Charlie,IT,Software,Medium,High
2024-01-17 14:02:22.920214,Alice,Finance,Office Supplies,High,High
2023-08-09 14:02:22.920214,Charlie,IT,Utilities,Medium,High
2023-12-06 14:02:22.920214,Eve,Finance,Software,Medium,High
2024-03-08 14:02:22.920214,Eve,Finance,Software,High,High
2023-10-22 14:02:22.920214,Eve,Finance,Maintenance,Low,Medium
2023-09-04 14:02:22.920214,Bob,HR,Utilities,Medium,High
2023-06-30 14:02:22.920214,Charlie,IT,Training,Medium,Medium
2023-12-07 14:02:22.920214,Alice,Finance,Training,Low,High
2023-06-25 14:02:22.920214,Charlie,IT,Meals,Low,High
2023-07-30 14:02:22.920214,Eve,Finance,Software,High,High
2024-01-24 14:02:22.920214,Charlie,IT,Utilities,High,High
2023-10-27 14:02:22.920214,Alice,Finance,Maintenance,Medium,High
2023-09-06 14:02:22.920214,Alice,Finance,Equipment,High,Medium
2023-09-11 14:02:22.920214,Alice,Finance,Maintenance,Medium,Medium
2023-08-24 14:02:22.920214,Charlie,IT,Training,Low,Low
2023-12-14 14:02:22.920214,Bob,HR,Training,High,Medium
2024-04-20 14:02:22.920214,Charlie,IT,Software,High,Medium
2023-09-11 14:02:22.920214,Alice,Finance,Miscellaneous,Medium,Low
2023-12-06 14:02:22.920214,Eve,Finance,Wifi,Medium,Low
2023-11-17 14:02:22.920214,Bob,HR,Wifi,High,Low
2024-04-10 14:02:22.920214,Bob,HR,Utilities,High,Medium
2023-07-29 14:02:22.920214,Bob,HR,Software,Medium,High
2023-05-30 14:02:22.920214,Bob,HR,Equipment,Medium,Low
2023-05-22 14:02:22.920214,Bob,HR,Maintenance,High,High
2023-09-20 14:02:22.920214,Bob,HR,Meals,High,Low
2024-03-25 14:02:22.920214,Bob,HR,Marketing,Low,Low
2023-09-23 14:02:22.920214,Bob,HR,Training,Low,High
2024-01-10 14:02:22.920214,Charlie,IT,Meals,Medium,Medium
2023-06-10 14:02:22.920214,Alice,Finance,Travel,Low,Medium
2023-07-20 14:02:22.920214,Charlie,IT,Utilities,High,Low
2024-04-04 14:02:22.920214,Eve,Finance,Wifi,Medium,High
2023-06-20 14:02:22.920214,David,Operations,Travel,Low,High
2024-04-02 14:02:22.920214,David,Operations,Marketing,Low,High
2023-12-28 14:02:22.920214,David,Operations,Meals,Low,High
2023-05-29 14:02:22.920214,Alice,Finance,Miscellaneous,High,Medium
2024-02-13 14:02:22.920214,Eve,Finance,Software,High,Low
2023-11-01 14:02:22.920214,Charlie,IT,Training,Medium,High
2023-09-03 14:02:22.920214,Charlie,IT,Maintenance,High,Medium
2023-08-14 14:02:22.920214,Bob,HR,Office Supplies,High,Medium
2023-12-23 14:02:22.920214,Eve,Finance,Miscellaneous,Medium,Medium
2024-03-21 14:02:22.920214,Bob,HR,Miscellaneous,Medium,Low
2023-12-21 14:02:22.920214,David,Operations,Miscellaneous,Low,Medium
2024-03-15 14:02:22.920214,Alice,Finance,Meals,High,Medium
2024-05-06 14:02:22.920214,Alice,Finance,Training,Medium,Medium
2023-07-23 14:02:22.920214,Charlie,IT,Travel,Medium,High
2024-03-13 14:02:22.920214,Eve,Finance,Office Supplies,Medium,High
2023-10-13 14:02:22.920214,Eve,Finance,Software,High,Low
2023-10-26 14:02:22.920214,David,Operations,Travel,Low,High
2024-04-10 14:02:22.920214,Charlie,IT,Maintenance,High,High
2023-09-13 14:02:22.920214,Eve,Finance,Maintenance,Low,Medium
2023-11-26 14:02:22.920214,Alice,Finance,Miscellaneous,Medium,Low
2023-07-16 14:02:22.920214,Bob,HR,Software,Medium,Low
2023-12-02 14:02:22.920214,Alice,Finance,Meals,High,Medium
2023-08-24 14:02:22.920214,Eve,Finance,Software,Medium,Low
2023-07-20 14:02:22.920214,Charlie,IT,Utilities,Low,High
2023-07-08 14:02:22.920214,Eve,Finance,Software,Low,Medium
2023-09-13 14:02:22.920214,Eve,Finance,Travel,High,Medium
2024-01-09 14:02:22.920214,Eve,Finance,Wifi,Low,Low
2024-01-11 14:02:22.920214,Eve,Finance,Utilities,Medium,Medium
2023-07-30 14:02:22.920214,Alice,Finance,Wifi,High,Medium
2023-12-28 14:02:22.920214,Alice,Finance,Maintenance,Medium,High
2024-05-01 14:02:22.920214,Charlie,IT,Meals,Medium,Medium
2023-06-04 14:02:22.920214,Bob,HR,Wifi,Low,Low
2024-04-24 14:02:22.920214,David,Operations,Miscellaneous,Low,Medium
2024-01-12 14:02:22.920214,Alice,Finance,Equipment,High,High
2023-06-23 14:02:22.920214,Charlie,IT,Software,Medium,High
2023-11-15 14:02:22.920214,Bob,HR,Software,Medium,Low
2023-11-03 14:02:22.920214,Bob,HR,Office Supplies,Low,Low
2023-11-16 14:02:22.920214,David,Operations,Miscellaneous,High,Medium
2024-01-01 14:02:22.920214,Charlie,IT,Training,Low,High
2023-07-12 14:02:22.920214,Eve,Finance,Training,Low,Low
2024-03-02 14:02:22.920214,Charlie,IT,Miscellaneous,Medium,Low
2024-03-22 14:02:22.920214,Charlie,IT,Meals,Medium,High
2024-01-04 14:02:22.920214,Bob,HR,Travel,Medium,Low
2023-12-25 14:02:22.920214,David,Operations,Equipment,High,Low
2024-03-25 14:02:22.920214,Charlie,IT,Training,Low,High
2023-07-04 14:02:22.920214,Bob,HR,Marketing,Low,High
2023-08-16 14:02:22.920214,Eve,Finance,Utilities,High,Low
2023-11-23 14:02:22.920214,Charlie,IT,Software,Medium,High
2023-07-01 14:02:22.920214,Alice,Finance,Maintenance,Low,High
2023-09-18 14:02:22.920214,David,Operations,Office Supplies,High,Low
2023-10-26 14:02:22.920214,Charlie,IT,Travel,Medium,High
2024-02-03 14:02:22.920214,Charlie,IT,Training,Medium,High
2023-08-23 14:02:22.920214,David,Operations,Software,Medium,High
2024-04-11 14:02:22.920214,Bob,HR,Travel,High,High
2023-09-20 14:02:22.920214,Charlie,IT,Training,Low,Low
2023-09-04 14:02:22.920214,David,Operations,Travel,Medium,High
2023-10-21 14:02:22.920214,Alice,Finance,Utilities,Medium,Low
2023-05-12 14:02:22.920214,Bob,HR,Equipment,Medium,Medium
2023-08-26 14:02:22.920214,Eve,Finance,Marketing,High,Medium
2024-02-14 14:02:22.920214,Eve,Finance,Marketing,Low,Medium
2024-04-06 14:02:22.920214,Bob,HR,Utilities,Medium,Low
2023-11-02 14:02:22.920214,Charlie,IT,Training,Medium,High
2024-03-15 14:02:22.920214,Alice,Finance,Maintenance,High,High
2023-10-31 14:02:22.920214,Bob,HR,Wifi,Medium,High
2023-12-14 14:02:22.920214,Charlie,IT,Utilities,Medium,High
2023-05-12 14:02:22.920214,Charlie,IT,Maintenance,Medium,Medium
2024-03-03 14:02:22.920214,Alice,Finance,Maintenance,Low,Medium
2023-08-12 14:02:22.920214,Eve,Finance,Office Supplies,Low,High
2023-07-04 14:02:22.920214,Bob,HR,Meals,Low,Low
2023-10-08 14:02:22.920214,Charlie,IT,Meals,Medium,Low
2024-04-16 14:02:22.920214,Alice,Finance,Software,High,Medium
2024-01-19 14:02:22.920214,Eve,Finance,Marketing,Medium,Low
2024-01-03 14:02:22.920214,Eve,Finance,Maintenance,High,High
2023-09-09 14:02:22.920214,Bob,HR,Software,High,High
2024-04-22 14:02:22.920214,Bob,HR,Maintenance,High,High
2023-07-06 14:02:22.920214,Eve,Finance,Equipment,High,Medium
2023-12-03 14:02:22.920214,Bob,HR,Marketing,High,Low
2023-12-04 14:02:22.920214,David,Operations,Training,Medium,Low
2023-10-14 14:02:22.920214,Alice,Finance,Office Supplies,Medium,Low
2024-03-01 14:02:22.920214,Bob,HR,Meals,High,Medium
2023-11-12 14:02:22.920214,David,Operations,Software,High,Low
2023-06-07 14:02:22.920214,Charlie,IT,Meals,Low,Medium
2024-02-16 14:02:22.920214,Charlie,IT,Training,Medium,Medium
2024-03-16 14:02:22.920214,Charlie,IT,Travel,High,Medium
2023-09-24 14:02:22.920214,Eve,Finance,Marketing,Medium,Low
2023-09-02 14:02:22.920214,Bob,HR,Marketing,Low,Medium
2023-11-13 14:02:22.920214,Charlie,IT,Software,Medium,High
2024-02-03 14:02:22.920214,Eve,Finance,Travel,Medium,High
