
+Date,Amount,Category,Description,Department,Urgency,Complexity,AutoApprove,Approver,ApproverName,ApproverPosition,ApproverDepartment,SpendingLimit,RequireReceipt,ComplianceLimit
2023-06-19 14:02:22.830327,218.86,Software,Software expense on 2023-06-19,Finance,Low,Medium,False,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,True,200
2023-10-28 14:02:22.830327,19.06,Utilities,Utilities expense on 2023-10-28,Finance,Low,High,True,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,False,200
2023-09-12 14:02:22.830327,141.31,Software,Software expense on 2023-09-12,Finance,Medium,Low,False,"{'Name': 'David', 'Position': 'Manager', 'Department': 'Operations'}",David,Manager,Operations,2500,True,200
2023-09-16 14:02:22.830327,445.78,Wifi,Wifi expense on 2023-09-16,Finance,High,Medium,True,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,True,50
2023-08-03 14:02:22.830327,448.55,Travel,Travel expense on 2023-08-03,IT,High,Low,False,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,True,500
2023-12-06 14:02:22.830327,338.15,Marketing,Marketing expense on 2023-12-06,Operations,Low,Low,False,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,True,1000
2023-07-15 14:02:22.830327,488.14,Travel,Travel expense on 2023-07-15,HR,High,Medium,False,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,True,500
2023-10-20 14:02:22.830327,145.34,Marketing,Marketing expense on 2023-10-20,HR,Low,Low,False,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,True,1000
2024-02-19 14:02:22.830327,473.65,Office Supplies,Office Supplies expense on 2024-02-19,Finance,High,High,True,"{'Name': 'David', 'Position': 'Manager', 'Department': 'Operations'}",David,Manager,Operations,2500,False,100
2023-09-06 14:02:22.830327,29.29,Meals,Meals expense on 2023-09-06,HR,Medium,Low,False,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,True,50
2024-02-14 14:02:22.830327,458.65,Office Supplies,Office Supplies expense on 2024-02-14,Operations,High,Low,True,"{'Name': 'David', 'Position': 'Manager', 'Department': 'Operations'}",David,Manager,Operations,2500,False,100
2023-07-24 14:02:22.830327,197.92,Wifi,Wifi expense on 2023-07-24,Finance,Medium,Medium,True,"{'Name': 'Bob', 'Position': 'Supervisor', 'Department': 'HR'}",Bob,Supervisor,HR,1500,True,50
2023-10-20 14:02:22.830327,65.78,Software,Software expense on 2023-10-20,Operations,High,High,False,"{'Name': 'Bob', 'Position': 'Supervisor', 'Department': 'HR'}",Bob,Supervisor,HR,1500,True,200
2023-09-30 14:02:22.830327,460.13,Wifi,Wifi expense on 2023-09-30,IT,High,High,True,"{'Name': 'Bob', 'Position': 'Supervisor', 'Department': 'HR'}",Bob,Supervisor,HR,1500,True,50
2023-08-20 14:02:22.830327,360.43,Software,Software expense on 2023-08-20,Finance,Low,High,False,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,True,200
2023-12-07 14:02:22.830327,345.38,Travel,Travel expense on 2023-12-07,IT,Medium,High,False,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,True,500
2023-12-31 14:02:22.830327,207.15,Miscellaneous,Miscellaneous expense on 2023-12-31,IT,Low,High,False,"{'Name': 'David', 'Position': 'Manager', 'Department': 'Operations'}",David,Manager,Operations,2500,False,200
2023-07-28 14:02:22.830327,92.82,Meals,Meals expense on 2023-07-28,HR,Low,Medium,False,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,True,50
2023-12-08 14:02:22.830327,445.59,Meals,Meals expense on 2023-12-08,Operations,Medium,Medium,False,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,True,50
2023-11-20 14:02:22.830327,482.65,Utilities,Utilities expense on 2023-11-20,Operations,Medium,Low,True,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,False,200
2023-10-21 14:02:22.830327,463.13,Office Supplies,Office Supplies expense on 2023-10-21,IT,High,High,True,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,False,100
2024-04-19 14:02:22.830327,323.01,Office Supplies,Office Supplies expense on 2024-04-19,HR,Low,Low,True,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,False,100
2023-05-19 14:02:22.830327,103.2,Software,Software expense on 2023-05-19,IT,High,High,False,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,True,200
2024-01-12 14:02:22.830327,210.79,Training,Training expense on 2024-01-12,Finance,Low,Medium,False,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,True,300
2023-11-29 14:02:22.830327,351.87,Maintenance,Maintenance expense on 2023-11-29,Finance,Low,Low,True,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,True,500
2023-11-17 14:02:22.830327,330.47,Wifi,Wifi expense on 2023-11-17,IT,Medium,High,True,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,True,50
2024-04-16 14:02:22.830327,41.27,Maintenance,Maintenance expense on 2024-04-16,HR,High,Medium,True,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,True,500
2023-06-12 14:02:22.830327,472.51,Miscellaneous,Miscellaneous expense on 2023-06-12,Finance,High,High,False,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,False,200
2023-06-26 14:02:22.830327,370.45,Office Supplies,Office Supplies expense on 2023-06-26,IT,Low,Low,True,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,False,100
2023-10-18 14:02:22.830327,262.27,Software,Software expense on 2023-10-18,IT,Low,Low,False,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,True,200
2023-08-23 14:02:22.830327,389.96,Marketing,Marketing expense on 2023-08-23,Operations,High,High,False,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,True,1000
2023-08-20 14:02:22.830327,374.39,Training,Training expense on 2023-08-20,Operations,Low,Low,False,"{'Name': 'Bob', 'Position': 'Supervisor', 'Department': 'HR'}",Bob,Supervisor,HR,1500,True,300
2024-01-15 14:02:22.830327,180.91,Office Supplies,Office Supplies expense on 2024-01-15,IT,Medium,Low,True,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,False,100
2024-03-20 14:02:22.830327,149.46,Office Supplies,Office Supplies expense on 2024-03-20,Finance,High,Low,True,"{'Name': 'David', 'Position': 'Manager', 'Department': 'Operations'}",David,Manager,Operations,2500,False,100
2024-01-09 14:02:22.830327,263.25,Miscellaneous,Miscellaneous expense on 2024-01-09,Operations,High,High,False,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,False,200
2023-12-29 14:02:22.830327,453.99,Marketing,Marketing expense on 2023-12-29,HR,Medium,Low,False,"{'Name': 'David', 'Position': 'Manager', 'Department': 'Operations'}",David,Manager,Operations,2500,True,1000
2024-03-05 14:02:22.830327,177.21,Maintenance,Maintenance expense on 2024-03-05,HR,Medium,Medium,True,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,True,500
2024-05-01 14:02:22.830327,402.58,Office Supplies,Office Supplies expense on 2024-05-01,HR,Low,High,True,"{'Name': 'David', 'Position': 'Manager', 'Department': 'Operations'}",David,Manager,Operations,2500,False,100
2023-08-12 14:02:22.830327,418.94,Miscellaneous,Miscellaneous expense on 2023-08-12,IT,Medium,High,False,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,False,200
2024-02-25 14:02:22.830327,50.63,Software,Software expense on 2024-02-25,Operations,Low,High,False,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,True,200
2024-01-18 14:02:22.830327,489.53,Maintenance,Maintenance expense on 2024-01-18,IT,Low,Medium,True,"{'Name': 'Eve', 'Position': 'Supervisor', 'Department': 'Finance'}",Eve,Supervisor,Finance,3000,True,500
2023-08-01 14:02:22.830327,297.12,Utilities,Utilities expense on 2023-08-01,Operations,Medium,Low,True,"{'Name': 'Charlie', 'Position': 'Director', 'Department': 'IT'}",Charlie,Director,IT,2000,False,200
2023-06-29 14:02:22.830327,33.76,Maintenance,Maintenance expense on 2023-06-29,Operations,Medium,Medium,True,"{'Name': 'David', 'Position': 'Manager', 'Department': 'Operations'}",David,Manager,Operations,2500,True,500
2023-05-17 14:02:22.830327,211.32,Wifi,Wifi expense on 2023-05-17,Operations,High,Medium,True,"{'Name': 'Alice', 'Position': 'Manager', 'Department': 'Finance'}",Alice,Manager,Finance,1000,True,50
2023-12-08 14:02:22.830327,41.74,Miscellaneous,Miscellaneous expense on 2023-12-08,HR,Low,Low,False,"{'Name': 'David', 'Position': 'Manager', 'Department': 'Operations'}",David,Manager,Operations,2500,False,200
2024-03-20 14:02:22.830327,325.81,Meals,Meals expense on 2024-03-20,Operations,Low,Medium,False,"{'Name': 'David', 'Position': 'Manager', 'Department': 'Operations'}",David,Manager,Operations,2500,True,50
